channel,url,title,date
VK:Beeldende Kunst,http://www.volkskrant.nl/mode-en-mooi/het-experiment-is-terug-bij-de-amsterdamse-modeweek~a4455552/,Het experiment is terug bij de Amsterdamse Modeweek,"Tue, 31 Jan 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/magazine/kreugers-beelden-zijn-figuratief-harmonisch-en-in-proportie~a4455619/,"Kreugers beelden zijn figuratief, harmonisch en in proportie","Tue, 31 Jan 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/boeken/-ik-doe-waar-ik-zin-in-heb-ik-leef-in-realtime~a4455104/,"'Ik doe waar ik zin in heb, ik leef in realtime'","Mon, 30 Jan 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/film/zombiefilms-als-luchtig-intermezzo-op-iffr~a4455121/,Zombiefilms als luchtig intermezzo op IFFR,"Mon, 30 Jan 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/film/-ik-voelde-een-rilling-door-mijn-lijf-gaan~a4454553/,'Ik voelde een rilling door mijn lijf gaan',"Sat, 28 Jan 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/beeldende-kunst/daar-komt-de-kikker-uit-de-mond~a4454389/,Daar komt de kikker uit de mond,"Sat, 28 Jan 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/magazine/-kunst-is-niet-alleen-iets-creeren-levenskunst-is-ook-belangrijk~a4453737/,'Kunst is niet alleen iets creëren. Levenskunst is ook belangrijk',"Sat, 28 Jan 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/beeldende-kunst/zeldzaam-is-het-hebbedingetje-dat-je-van-je-sokken-blaast~a4454321/,Zeldzaam is het hebbedingetje dat je van je sokken blaast,"Sat, 28 Jan 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/boeken/waardig-saluut-aan-ongrijpbare-rene-magritte~a4453871/,Waardig saluut aan ongrijpbare René Magritte,"Fri, 27 Jan 2017 01:02:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/mode-en-mooi/stijlbroeders-met-een-doe-het-zelfmentaliteit~a4453955/,Stijlbroeders met een doe-het-zelfmentaliteit,"Fri, 27 Jan 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/beeldende-kunst/wetenschap-is-enorme-voorraadschuur-van-cultuur~a4453972/,Wetenschap is enorme voorraadschuur van cultuur,"Fri, 27 Jan 2017 01:00:00 GMT"
VK:Beeldende Kunst,http://www.volkskrant.nl/beeldende-kunst/mediakunst-als-middel-voor-kritiek~a4453918/,Mediakunst als middel voor kritiek,"Fri, 27 Jan 2017 01:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/politiek/wie-kan-met-wie-regeren-bekijk-het-in-deze-coalitiewijzer~a4459611/,Wie kan met wie regeren? Bekijk het in deze coalitiewijzer,"Wed, 08 Feb 2017 10:02:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/verkiezingsblog-aow-leeftijd-breekpunt-voor-50plus-anders-niet-in-kabinet~a4449553/,Verkiezingsblog - AOW-leeftijd breekpunt voor 50Plus: 'Anders niet in kabinet',"Wed, 08 Feb 2017 09:28:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/politiek/betaalt-tweede-werkende-ouder-65-procent-aan-belasting~a4458731/,Betaalt tweede werkende ouder 65 procent aan belasting?,"Wed, 08 Feb 2017 09:14:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/wat-nou-tulpen-en-kaas-deze-machines-leveren-holland-veel-meer-op~a4459338/,Wat nou tulpen en kaas: deze machines leveren Holland veel meer op,"Wed, 08 Feb 2017 05:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/politiek/wie-houdt-er-toezicht-op-het-tappen-van-de-overheid~a4459246/,Wie houdt er toezicht op het tappen van de overheid?,"Wed, 08 Feb 2017 05:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/politiek/groenlinks-gaat-verkiezing-in-met-ingrijpende-belastinghervorming~a4459521/,GroenLinks gaat verkiezing in met ingrijpende belastinghervorming,"Wed, 08 Feb 2017 05:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/opinie/een-uitzonderlijk-fenomeen-een-basisschool-zeven-meesters-voor-de-klas~a4459275/,"Een uitzonderlijk fenomeen: één basisschool, zeven meesters voor de klas","Wed, 08 Feb 2017 01:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/tech/sillicon-valley-technologie-start-ups-en-immigranten~a4459332/,"Sillicon Valley: technologie, start-ups en immigranten","Wed, 08 Feb 2017 01:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/blinde-afluisteraar-je-moet-kunnen-meeleven-met-doelwit~a4459248/,Blinde afluisteraar: 'Je moet kunnen meeleven met doelwit',"Wed, 08 Feb 2017 01:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/economie/doorsneevermogen-stijgt-dankzij-huizenprijzen-voor-het-eerst-sinds-crisis~a4459298/,Doorsneevermogen stijgt dankzij huizenprijzen voor het eerst sinds crisis,"Wed, 08 Feb 2017 01:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/het-weer-vooral-koude-nachten~a4459169/,Het weer: vooral koude nachten,"Wed, 08 Feb 2017 01:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/politiek/dit-vinden-de-zwevende-kiezers-van-de-stemwijzer~a4459266/,Dit vinden de zwevende kiezers van de Stemwijzer,"Wed, 08 Feb 2017 01:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/politiek/nederlandse-lijsttrekkers-willen-graag-anti-trump-effect-van-macron-meemaken~a4459313/,Nederlandse lijsttrekkers willen graag anti-Trump effect van Macron meemaken,"Wed, 08 Feb 2017 01:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/politiek/stemwijzers-bieden-hulp-in-tijden-van-keuzestress~a4459260/,Stemwijzers bieden hulp in tijden van keuzestress,"Wed, 08 Feb 2017 01:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/politiek/na-de-stemwijzer-belandde-ik-in-een-crisis~a4459284/,Na de Stemwijzer belandde ik in een crisis,"Wed, 08 Feb 2017 01:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/politiek/is-er-nog-mededogen~a4459167/,Is er nog mededogen?,"Wed, 08 Feb 2017 01:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/opinie/wilders-doet-met-spelbederf-afbreuk-aan-de-democratie~a4459244/,Wilders doet met spelbederf afbreuk aan de democratie,"Wed, 08 Feb 2017 01:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/economie/niet-iedereen-profiteert-van-het-economisch-herstel-in-nederland~a4459264/,Niet iedereen profiteert van het economisch herstel in Nederland,"Wed, 08 Feb 2017 01:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/scholen-zien-vrijheid-van-onderwijs-in-gevaar-komen-door-nieuwe-eis-overheid~a4459299/,Scholen zien vrijheid van onderwijs in gevaar komen door nieuwe eis overheid,"Tue, 07 Feb 2017 21:28:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/politiek/denk-daagt-nrc-voor-de-rechter-vanwege-publicatie-uit-2016~a4459305/,Denk daagt NRC voor de rechter vanwege publicatie uit 2016,"Tue, 07 Feb 2017 21:27:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/duizenden-groningers-de-straat-op-tegen-gaswinning-kamp-is-een-ramp~a4459251/,Duizenden Groningers de straat op tegen gaswinning: 'Kamp is een ramp',"Tue, 07 Feb 2017 19:24:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/-over-onze-partij-wordt-vaak-gezegd-ze-doen-geen-vlieg-kwaad~a4459229/,"'Over onze partij wordt vaak gezegd, ze doen geen vlieg kwaad'","Tue, 07 Feb 2017 19:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/politiek/het-binnenhof-7-februari~a4459110/,Het Binnenhof: 7 februari,"Tue, 07 Feb 2017 16:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/-niet-goed-nagedacht-over-beveiliging-stemwijzer~a4459026/,'Niet goed nagedacht over beveiliging Stemwijzer',"Tue, 07 Feb 2017 15:16:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/cultuurblog-regisseur-johan-simons-geselecteerd-voor-prestigieus-theaterfestival~a4446851/,Cultuurblog - Regisseur Johan Simons geselecteerd voor prestigieus theaterfestival,"Tue, 07 Feb 2017 15:15:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/nederland-kan-terugkerende-jihadist-bij-de-grens-weren-na-akkoord-eerste-kamer~a4459131/,Nederland kan terugkerende jihadist bij de grens weren na akkoord Eerste Kamer,"Tue, 07 Feb 2017 14:28:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/-valse-racismebeschuldiging-stagiaire-gerechtshof-ontaardt-in-welles-nietes-discussie~a4459122/,'Valse' racismebeschuldiging stagiaire Gerechtshof ontaardt in welles-nietes-discussie,"Tue, 07 Feb 2017 13:51:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/politiek/ging-het-inkomen-van-rijksten-omhoog-en-de-rest-van-nederland-omlaag~a4457752/,Ging het inkomen van rijksten omhoog en de rest van Nederland omlaag?,"Tue, 07 Feb 2017 13:06:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/wie-is-pauline-krikke-de-nieuwe-burgemeester-van-den-haag~a4459114/,"Wie is Pauline Krikke, de nieuwe burgemeester van Den Haag?","Tue, 07 Feb 2017 13:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/hoge-raad-badr-hari-moet-gevangenisstraf-van-2-jaar-uitzitten~a4459027/,Hoge Raad: Badr Hari moet gevangenisstraf van 2 jaar uitzitten,"Tue, 07 Feb 2017 11:44:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/taxi-s-aanbieden-buiten-officiele-standplaats-bij-schiphol-wordt-vanaf-vandaag-fors-beboet~a4459087/,Taxi's aanbieden buiten officiële standplaats bij Schiphol wordt vanaf vandaag fors beboet,"Tue, 07 Feb 2017 11:26:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/plots-weer-schreeuwend-tekort-aan-personeel-kinderopvang-hoe-kan-dat~a4459034/,Plots weer schreeuwend tekort aan personeel kinderopvang: hoe kan dat?,"Tue, 07 Feb 2017 11:21:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/sarkozy-moet-voor-rechter-verschijnen-wegens-gesjoemel-met-verkiezingsgeld~a4459068/,Sarkozy moet voor rechter verschijnen wegens gesjoemel met verkiezingsgeld,"Tue, 07 Feb 2017 10:24:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/economie/niet-sierteelt-of-aardgas-maar-machines-zijn-belangrijkste-nederlandse-exportproduct~a4459013/,Niet sierteelt of aardgas maar machines zijn belangrijkste Nederlandse exportproduct,"Tue, 07 Feb 2017 07:47:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/veilig-alternatief-voor-rubberkorrels-in-kunstgras-was-in-2015-al-voorhanden~a4458828/,Veilig alternatief voor rubberkorrels in kunstgras was in 2015 al voorhanden,"Tue, 07 Feb 2017 05:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/weerbericht-rond-het-vriespunt~a4458698/,Weerbericht: rond het vriespunt,"Tue, 07 Feb 2017 05:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/binnenland/pauline-krikke-eerste-vrouwelijke-burgemeester-van-den-haag~a4458743/,Pauline Krikke eerste vrouwelijke burgemeester van Den Haag,"Tue, 07 Feb 2017 04:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/opinie/berouw-over-de-moord-op-fortuyn-kan-niet-worden-afgedwongen~a4458753/,Berouw over de moord op Fortuyn kan niet worden afgedwongen,"Tue, 07 Feb 2017 01:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/theater/kinderen-zijn-voor-even-de-baas-bij-theater-frascati~a4458730/,Kinderen zijn (voor even) de baas bij Theater Frascati,"Tue, 07 Feb 2017 01:00:00 GMT"
VK:Binnenland,http://www.volkskrant.nl/boeken/jan-wolkers-was-meester-in-de-kunst-van-zelfreflectie~a4458720/,Jan Wolkers was meester in de kunst van zelfreflectie,"Tue, 07 Feb 2017 01:00:00 GMT"
